"Make It Clap (feat. Sean Paul & Spliff Starr) (Remix Album Version) (Explicit)","Busta Rhymes, Sean Paul, Spliff Starr",""
"Hold You Down (Explicit)","Alchemist, Nina Sky, Prodigy, ILLA GHEE",""
"Birds (Explicit)","Babbletron",""
"Don't Talk To Strangers","Mr. T",""
"Grinding All My Life (Explicit)","Nipsey Hussle",""
"I Need Drugs (Explicit)","Necro",""
"Fancy Clown (Explicit)","Madvillain, Viktor Vaughn",""
"Phone Wallet Keys (Explicit)","Adam Sandler",""
"Keepin' It Gangsta (Explicit)","Fabolous",""
"Bad Intentions (Album Version) (Explicit)","Dr. Dre, Knoc-Turn'al",""
"Be A Man","Macho Man Randy Savage",""
"Be A Man","Macho Man Randy Savage",""
"Who Are You? (Explicit)","Cal Scruby",""
"Teenage Mutant Ninja Turtles Cartoon Opening Theme (1987)","Teenage Mutant Ninja Turtles",""
"Teenage Mutant Ninja Turtles Cartoon Opening Theme (1987)","Teenage Mutant Ninja Turtles",""
"Mind Playing Tricks on Me (Explicit)","Geto Boys",""
"Just The Two Of Us [Dr. Evil Mix]","Dr. Evil",""
"Boss (Explicit)","Little Simz",""
"Boss (Explicit)","Little Simz",""
"Strut","Steven Seagal",""
"Strut","Steven Seagal",""
"Wat Da Hook Gon Be (Explicit)","Murphy Lee, Jermaine Dupri",""
"COFFEE BEAN (Explicit)","Travis Scott",""
"COFFEE BEAN (Explicit)","Travis Scott",""
"Sledgehammer (2012 Remaster)","Peter Gabriel",""
"We Get Around (Album Version (Explicit)) (Explicit)","Freeway, Snoop Dogg",""
"How You Want It? (Explicit)","Teyana Taylor, King Combs",""
"My Way (Explicit)","Limp Bizkit",""
"A Thousand Miles","Vanessa Carlton",""
"U Are In My System","Barclay Crenshaw, The Cool Kids",""
"U Are In My System","Barclay Crenshaw, The Cool Kids",""
"U Are In My System","Barclay Crenshaw, The Cool Kids",""
"Sit Ya Ass Down","Del Tha Funkee Homosapien, Amp Live",""
"HeadBand (feat. 2 Chainz) (Explicit)","B.o.B, 2 Chainz",""
"Poke It Out (feat. J. Cole) (Explicit)","Wale, J. Cole, Cool & Dre",""
"Poke It Out (feat. J. Cole) (Explicit)","Wale, J. Cole, Cool & Dre",""
"Here Comes the Hotstepper (Heartical Mix)","Ini Kamoze",""
"AUTOMOBOOTY (Explicit)","NLE Choppa",""
"AUTOMOBOOTY (Explicit)","NLE Choppa",""
"College Drop (Explicit)","Sage the Gemini, Kool John",""
"Hot Dog (Explicit)","Limp Bizkit",""
"Hot Dog (Explicit)","Limp Bizkit",""
"Give Me One Reason","Tracy Chapman",""
"REDMERCEDES (Remix) (Explicit)","Aminé, Missy Elliott, AJ Tracey",""
"Feels Like Summer (Explicit)","Vince Staples",""
"Faucet Failure (Explicit)","Ski Mask the Slump God",""
"Fish Heads","Barnes & Barnes",""
"Got It Twisted (Explicit)","Mobb Deep",""
"Got It Twisted (Explicit)","Mobb Deep",""
"Inspector Gadget","TV Themes",""
"Turn It Up / Fire It Up (Remix)","Busta Rhymes",""
"I Ain't No Joke","Eric B. & Rakim",""
"Tubthumping","Chumbawamba",""
"The Humpty Dance","Digital Underground",""
"The Humpty Dance","Digital Underground",""
"All Star","Smash Mouth",""
"MMMBop","Hanson",""
"Do It For The Bay","Saweetie, P-Lo",""
"Turtle Power","Partners In Kryme",""
"Phenomenon (Explicit)","LL COOL J",""
"Phenomenon (Explicit)","LL COOL J",""
"Phenomenon (Explicit)","LL COOL J",""
"Orange Barrels","Todd Yohn",""
"Dang! (feat. Anderson .Paak) (Explicit)","Mac Miller, Anderson .Paak",""
"Dang! (feat. Anderson .Paak) (Explicit)","Mac Miller, Anderson .Paak",""
"Chill Bill (feat. J. Davi$ & Spooks) (Explicit)","Rob $tone, J. Davi$, Spooks",""
"Why Don't You Get A Job (Explicit)","The Offspring",""
"Gettin' Jiggy Wit It","Will Smith",""
"Gettin' Jiggy Wit It","Will Smith",""
"Trini Dem Girls (Explicit)","Nicki Minaj, Lunchmoney Lewis",""
"Pizza Power","Teenage Mutant Ninja Turtles",""
"I Whipped Batman's Ass","Wesley Willis",""
"In da Wind (Explicit)","Trick Daddy, Big Boi, Cee-Lo Green",""
"In da Wind (Explicit)","Trick Daddy, Big Boi, Cee-Lo Green",""
"SUNSHiNE OF YOUR WUB","Yookie",""
"Knight Rider (Trap Remix)","Trap Remix Guys",""
"Bops Goin Brazy (Explicit)","Tyga",""
"Little Miss Can't Be Wrong","Spin Doctors",""
"Make Up Your Mind (Explicit)","Cordae",""
"Californian Knight (Original Mix)","Platinum Doug",""
"Smooth Operator (Single Version)","Sade",""
"All I Wanna Do","Sheryl Crow",""
"Hit 'Em Up Style (Oops!)","Essel, James Hurr",""
"Shooting Stars","BAG RAIDERS",""
"WIN (Explicit)","Jay Rock",""
"Day 'N' Nite (Crookers Remix) (Explicit)","Kid Cudi",""
"Bill Nye The Science Guy","MicroDragon",""
"Is That Yo Bitch (Explicit)","JAY-Z, Timbaland",""
"Drop That B (Explicit)","Salva",""
"Telephone Ringing (Office Phone Ring) [Version 1]","Finnolia Sound Effects",""
"act ii: date @ 8 (Explicit)","4batz",""
"BARNEY THEME SONG (REMIX)","Trap Music Now, Keiron Raven, Kids Music Now",""
"Precision (Explicit)","Big Sean",""
"Chip 'N' Dale's Rescue Rangers Theme Song","The Disney Afternoon Studio Chorus",""
"Posted (Explicit)","Pac Div",""
"The Chipmunk Song (Christmas Don't Be Late) (Remastered 1999)","Alvin And The Chipmunks, David Seville",""
